"act_heat_index","act_heat_index_smart","animal_activity","heat_index","low_pass_over_activity","percentile60_of_5day_temp","stomach_temp","temp_dec_index","temp_height_index","temp_inc_index","temp_without_drink_cycles","time","CowID"
"","","0.0","","0.0","","","","","","","2019-01-29 08:36:00","11981"
"","","11.07","","6.758","","","","","","","2019-01-29 08:46:00","11981"
"","","5.3","","8.819","","","","","","","2019-01-29 08:56:00","11981"
"","","4.99","","9.85","","","","","","38.47","2019-01-29 09:06:00","11981"
"","","6.37","","10.468","","","","","","39.06","2019-01-29 09:16:00","11981"
"","","5.62","","11.011","","","","","","39.06","2019-01-29 09:26:00","11981"
"","","5.24","","13.298","","","","","","39.01","2019-01-29 09:36:00","11981"
"","","7.04","","13.333","","","","","","38.99","2019-01-29 09:46:00","11981"
"","","6.72","","13.911","","","","","","38.99","2019-01-29 09:56:00","11981"
"","","3.57","","14.489","","","","","","38.99","2019-01-29 10:06:00","11981"
"","","4.5","","14.163","","","","","","38.99","2019-01-29 10:16:00","11981"
"","","3.84","","13.439","","","","","","38.99","2019-01-29 10:26:00","11981"
"","","3.47","","12.714","","","","","","39.08","2019-01-29 10:36:00","11981"
"","","5.71","","11.99","","","","","","39.11","2019-01-29 10:46:00","11981"
"","","5.38","","11.444","","","","","","39.22","2019-01-29 10:56:00","11981"
"","","3.97","","10.899","","","","","","39.22","2019-01-29 11:06:00","11981"
"","","6.26","","11.257","","","","","","39.22","2019-01-29 11:16:00","11981"
"","","6.34","","12.242","","","","","","39.26","2019-01-29 11:26:00","11981"
"","","5.13","","13.227","","","","","","39.28","2019-01-29 11:36:00","11981"
"","","6.88","","14.245","","","","","","39.28","2019-01-29 11:46:00","11981"
"","","5.5","","14.293","","","","","","39.22","2019-01-29 11:56:00","11981"
"","","5.08","","14.342","","","","","","39.16","2019-01-29 12:06:00","11981"
"","","7.48","","14.391","","","","","","39.16","2019-01-29 12:16:00","11981"
"","","8.06","","14.888","","","","","","39.16","2019-01-29 12:26:00","11981"
"","","6.03","","15.384","","","","","","39.08","2019-01-29 12:36:00","11981"
"","","4.16","","15.258","","","","","","39.02","2019-01-29 12:46:00","11981"
"","","5.46","","15.242","","","","","","38.94","2019-01-29 12:56:00","11981"
"","","5.81","","15.225","","","","","","38.85","2019-01-29 13:06:00","11981"
"","","6.69","","15.352","","","","","","38.82","2019-01-29 13:16:00","11981"
"","","4.96","","14.672","","","","","","38.88","2019-01-29 13:26:00","11981"
"","","4.72","","13.646","","","","","","38.98","2019-01-29 13:36:00","11981"
"","","4.97","","13.211","","","","","","39.03","2019-01-29 13:46:00","11981"
"","","4.48","","12.91","","","","","","39.06","2019-01-29 13:56:00","11981"
"","","3.34","","12.511","","","","","","39.21","2019-01-29 14:06:00","11981"
"","","3.6","","11.611","","","","","","39.3","2019-01-29 14:16:00","11981"
"","","3.89","","10.712","","","","","","39.59","2019-01-29 14:26:00","11981"
"","","4.71","","10.276","","","","","","39.77","2019-01-29 14:36:00","11981"
"","","4.88","","10.175","","","","","","39.77","2019-01-29 14:46:00","11981"
"","","5.15","","10.24","","","","","","39.69","2019-01-29 14:56:00","11981"
"","","5.32","","10.512","","","","","","39.6","2019-01-29 15:06:00","11981"
"","","4.19","","11.143","","","","","","39.56","2019-01-29 15:16:00","11981"
"","","4.12","","11.383","","","","","","39.67","2019-01-29 15:26:00","11981"
"","","4.75","","11.505","","","","","","39.78","2019-01-29 15:36:00","11981"
"","","4.55","","11.44","","","","","","39.78","2019-01-29 15:46:00","11981"
"","","6.64","","11.387","","","","","","39.71","2019-01-29 15:56:00","11981"
"","","6.72","","11.994","","","","","","39.63","2019-01-29 16:06:00","11981"
"","","7.029","","12.633","","","","","","39.54","2019-01-29 16:16:00","11981"
"","","7.709","","13.788","","","","","","39.46","2019-01-29 16:26:00","11981"
"","","8.389","","15.221","","","","","","39.38","2019-01-29 16:36:00","11981"
"","","6.679","","16.506","","","","","","39.29","2019-01-29 16:46:00","11981"
"","","8.889","","17.987","","","","","","39.21","2019-01-29 16:56:00","11981"
"","","9.37","","18.903","","","","","","39.13","2019-01-29 17:06:00","11981"
"","","8.459","","19.785","","","","","","39.04","2019-01-29 17:16:00","11981"
"","","6.859","","20.367","","","","","","38.96","2019-01-29 17:26:00","11981"
"","","5.93","","20.021","","","","","","39.01","2019-01-29 17:36:00","11981"
"","","4.3","","19.297","","","","","","39.19","2019-01-29 17:46:00","11981"
"","","7.119","","18.297","","","","","","39.25","2019-01-29 17:56:00","11981"
"","","6.299","","17.242","","","","","","39.4","2019-01-29 18:06:00","11981"
"","","8.28","","16.522","","","","","","39.46","2019-01-29 18:16:00","11981"
"","","8.1","","16.376","","","","","","39.51","2019-01-29 18:26:00","11981"
"","","9.74","","16.954","","","","","","39.51","2019-01-29 18:36:00","11981"
