,Unnamed: 0,datesql,Animal_ID,Group_ID,Lactation_Num,DIM,AnimalStatus,Gynecology_Status,Yield(gr),ProdRate(gr/hr),Fat(%),Avg_Fat(%),Protein(%),Avg_Protein(%),Lactose,Avg_Lactose(%),Conductivity,Avg_Conductivity,Milking_Time(seconds),Avg_Milking_Time(seconds),Activity(steps/hr),ActivityDeviation(%),RestBout(#),RestPerBout(min),RestRatio(%),RestRestlessness,RestTime(min),Weight(gr),monetary_worth
3990,65318,2018-11-04,2302,14,1,455,Dry,Pregnant,10157.0,765.0,4.67,3.34,3.26,2.75,4.56,2.03,9.2,9.2,131.0,145.0,394.0,220.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3411.984993721058
4058,65396,2018-11-04,4378,14,1,317,Dry,Pregnant,13728.0,798.0,3.8,3.09,3.34,3.08,4.31,2.75,9.3,9.4,209.0,202.0,254.0,98.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3707.7932163452106
4063,65403,2018-11-04,4388,14,1,318,Dry,Pregnant,7916.0,459.0,4.19,3.45,3.33,2.95,4.48,3.56,9.3,9.7,130.0,137.0,272.0,78.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2613.815538356984
4064,65404,2018-11-04,4392,14,1,312,Dry,Pregnant,19754.0,1296.0,3.65,2.83,3.15,3.05,4.46,3.07,8.6,8.4,162.0,151.0,283.0,142.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,8952.208943007428
4065,65405,2018-11-04,4393,14,1,353,Dry,Pregnant,13425.0,882.0,4.7,3.86,3.08,2.8,4.36,2.39,11.0,11.2,205.0,203.0,342.0,176.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5398.961150863751
4066,65406,2018-11-04,4395,14,1,312,Dry,Pregnant,6962.0,462.0,3.5,3.28,2.97,3.32,4.33,3.31,11.5,10.5,133.0,135.0,276.0,140.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3184.541685338245
4085,65438,2018-11-04,6163,14,1,292,Dry,Pregnant,13334.0,873.0,3.99,3.17,3.05,2.84,4.57,3.17,9.2,9.2,157.0,177.0,265.0,91.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4431.0566357301495
4130,65495,2018-11-04,6363,14,1,298,Dry,Pregnant,15592.0,1031.0,4.34,3.61,3.28,3.12,4.68,3.6,8.2,8.1,187.0,152.0,333.0,175.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5403.885698068968
4174,65544,2018-11-04,7191,14,5,333,Dry,Pregnant,4537.0,341.0,3.94,2.84,2.87,2.54,3.41,1.76,13.1,13.1,129.0,130.0,327.0,206.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1679.979944447131
4228,65609,2018-11-04,8337,14,3,339,Dry,Pregnant,15671.0,1266.0,4.08,3.0,3.45,3.48,4.29,3.01,10.3,10.7,184.0,199.0,309.0,99.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,7805.697000948576
4308,65718,2018-11-04,9072,14,2,283,Dry,Pregnant,7463.0,590.0,3.82,2.62,2.88,2.4,3.95,2.37,14.7,14.9,162.0,162.0,305.0,115.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3733.8258844464367
4436,65866,2018-11-04,9534,14,1,386,Dry,Pregnant,14943.0,1036.0,4.41,3.13,3.08,3.05,4.69,2.89,9.7,9.6,239.0,238.0,368.0,104.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,7802.842100464711
4505,65968,2018-11-04,9764,14,1,316,Dry,Pregnant,16158.0,1182.0,3.27,2.73,2.92,2.81,4.57,3.24,9.7,9.6,198.0,210.0,267.0,93.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,7380.872113847436
4516,65988,2018-11-04,9807,14,1,295,Dry,Pregnant,9373.0,544.0,4.45,3.77,3.12,2.99,4.7,3.0,8.8,8.8,172.0,152.0,287.0,30.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3296.3740704709253
4520,65992,2018-11-04,9814,14,1,315,Dry,Pregnant,12310.0,941.0,4.86,4.23,3.38,2.97,4.42,2.98,10.5,9.7,152.0,155.0,355.0,203.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,6892.029305544927
4628,66109,2018-11-04,10773,14,1,350,Dry,Pregnant,16380.0,1100.0,4.62,4.08,3.19,3.42,4.73,3.12,8.7,8.3,187.0,174.0,297.0,194.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,6865.767171040901
4830,66327,2018-11-04,1476396686,14,3,306,Dry,Pregnant,3839.0,279.0,4.87,3.71,3.4,3.03,4.02,2.6,9.9,10.6,129.0,129.0,303.0,159.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2194.471089303524
4863,66367,2018-11-04,1476396775,14,2,296,Dry,Pregnant,9272.0,646.0,4.51,3.46,3.08,3.2,4.05,2.53,9.9,10.0,212.0,142.0,319.0,271.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3385.170563216168
4975,66509,2018-11-04,1476396943,14,1,305,Dry,Pregnant,12654.0,822.0,4.93,3.72,3.81,3.49,4.66,2.96,9.0,8.8,134.0,146.0,349.0,118.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,6633.552580833345
5020,66564,2018-11-04,1476397008,14,2,304,Dry,Pregnant,17504.0,1476.0,3.97,3.12,3.33,3.07,4.28,2.85,10.4,10.0,196.0,177.0,316.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,9471.534323987264
5049,66595,2018-11-04,1476397051,14,1,264,Dry,Pregnant,4166.0,501.0,4.43,3.18,3.33,2.73,4.08,1.71,9.2,9.2,129.0,131.0,265.0,152.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2207.37231021687
5064,66614,2018-11-04,1476397070,14,1,398,Dry,Pregnant,3519.0,205.0,4.01,3.26,3.32,2.92,4.45,2.9,11.7,11.4,131.0,142.0,306.0,139.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1328.923645612594
5122,66682,2018-11-04,1476397151,14,1,307,Dry,Pregnant,23829.0,1543.0,3.53,2.78,3.19,2.79,4.57,2.78,8.8,8.7,267.0,251.0,338.0,109.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,10897.541750126436
5126,66688,2018-11-04,1476397159,14,1,336,Dry,Pregnant,7655.0,586.0,4.07,3.19,2.98,2.99,4.24,2.73,12.7,11.0,140.0,133.0,318.0,181.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4267.748560444193
5149,66714,2018-11-04,1476397199,14,1,338,Dry,Pregnant,10085.0,651.0,4.59,3.39,3.42,3.01,4.4,2.51,9.4,9.1,139.0,141.0,258.0,88.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4528.659088975787
5197,66775,2018-11-04,1476397269,14,1,295,Dry,Pregnant,8523.0,572.0,4.25,3.08,3.19,3.1,4.35,3.14,10.3,9.8,139.0,135.0,248.0,105.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2742.7407477444794
11762,74782,2018-04-17,3369,14,2,313,Dry,Pregnant,19186.0,799.0,4.7,4.26,3.24,3.14,4.38,4.45,10.6,9.9,191.0,164.0,72.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5652.129088348342
11862,74910,2018-04-17,6317,14,1,427,Dry,Pregnant,20946.0,872.0,4.89,4.88,3.45,3.41,4.43,4.39,9.9,9.6,203.0,181.0,86.0,9.0,4.0,77.0,73.0,8.0,307.0,0.0,4858.6893310569385
11863,74911,2018-04-17,6318,14,1,294,Dry,Pregnant,28704.0,1196.0,4.48,4.15,3.29,3.13,4.71,4.39,9.7,9.4,228.0,192.0,165.0,17.0,4.0,75.0,63.0,13.0,300.0,0.0,9247.067532264711
11868,74918,2018-04-17,6340,14,1,380,Dry,Pregnant,26305.0,1096.0,4.64,4.4,3.54,3.4,4.66,4.4,8.4,8.3,137.0,132.0,167.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,6756.78230833031
11869,74919,2018-04-17,6352,14,1,298,Dry,Pregnant,27426.0,1142.0,4.23,4.17,3.11,3.01,4.71,4.69,8.7,8.7,176.0,154.0,201.0,23.0,4.0,94.0,78.0,7.0,375.0,0.0,7089.893771667806
11872,74927,2018-04-17,6381,14,1,292,Dry,Pregnant,28555.0,1189.0,4.38,4.1,3.1,3.07,4.75,4.67,8.1,8.1,178.0,149.0,175.0,14.0,2.0,118.0,49.0,25.0,237.0,0.0,9236.733148140052
11878,74935,2018-04-17,6425,14,1,296,Dry,Pregnant,12517.0,521.0,4.9,5.05,3.36,3.37,4.45,4.48,10.0,9.1,165.0,136.0,153.0,18.0,3.0,98.0,61.0,13.0,294.0,0.0,3324.4904605682373
12176,75299,2018-04-17,9549,14,1,294,Dry,Pregnant,29908.0,1246.0,3.7,3.63,3.37,3.3,4.38,4.41,9.5,9.5,179.0,178.0,160.0,10.0,2.0,123.0,57.0,14.0,246.0,0.0,8747.575121616648
12252,75412,2018-04-17,9798,14,1,298,Dry,Pregnant,33782.0,1407.0,3.55,3.71,2.91,2.91,4.61,4.49,9.3,9.1,180.0,188.0,145.0,7.0,4.0,68.0,56.0,19.0,271.0,0.0,10123.734934351349
12661,75874,2018-04-17,1476396859,14,4,282,Dry,Pregnant,17738.0,739.0,4.26,4.13,3.29,3.31,4.4,4.42,12.4,10.5,207.0,172.0,140.0,24.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4554.898914276058
12669,75884,2018-04-17,1476396869,14,1,372,Dry,Pregnant,16141.0,672.0,5.0,4.86,3.4,3.14,4.64,4.35,9.6,9.3,140.0,143.0,145.0,11.0,3.0,79.0,50.0,22.0,238.0,0.0,3407.179717525857
12789,76031,2018-04-17,1476397050,14,2,384,Dry,Pregnant,12493.0,520.0,4.52,3.99,3.31,2.88,3.99,3.59,11.0,10.3,299.0,176.0,182.0,44.0,2.0,197.0,73.0,13.0,394.0,0.0,3421.80230128883
12898,76168,2018-04-17,1476397224,14,1,293,Dry,Pregnant,26434.0,1101.0,4.23,4.16,3.17,3.12,4.51,4.48,9.4,9.1,161.0,164.0,164.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,8725.351524701515
13062,76361,2018-04-18,3369,14,2,313,Dry,Pregnant,14297.0,1068.0,4.66,4.32,3.28,3.18,4.37,4.48,11.3,9.9,190.0,163.0,277.0,222.0,11.0,60.0,46.0,33.0,658.0,0.0,8004.121194252207
13162,76489,2018-04-18,6317,14,1,427,Dry,Pregnant,8496.0,642.0,5.04,4.89,3.44,3.41,4.41,4.41,9.8,9.7,199.0,185.0,152.0,88.0,9.0,77.0,48.0,22.0,696.0,0.0,5680.404922031984
13163,76490,2018-04-18,6318,14,1,294,Dry,Pregnant,15600.0,1202.0,4.78,4.14,3.15,3.15,4.59,4.47,9.1,9.3,210.0,194.0,269.0,86.0,7.0,76.0,36.0,42.0,534.0,0.0,8457.879130708272
13168,76497,2018-04-18,6340,14,1,380,Dry,Pregnant,14100.0,1103.0,4.77,4.43,3.57,3.44,4.5,4.47,8.4,8.3,131.0,134.0,290.0,159.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,7490.359142503372
13169,76498,2018-04-18,6352,14,1,298,Dry,Pregnant,13330.0,986.0,4.22,4.18,3.08,3.03,4.64,4.72,8.7,8.7,193.0,152.0,288.0,76.0,8.0,81.0,47.0,32.0,651.0,0.0,7009.695445133747
13172,76506,2018-04-18,6381,14,1,292,Dry,Pregnant,13607.0,1081.0,4.3,4.23,3.21,3.05,4.84,4.59,8.2,8.1,157.0,157.0,318.0,104.0,5.0,72.0,25.0,72.0,361.0,0.0,7145.007583653839
13178,76514,2018-04-18,6425,14,1,296,Dry,Pregnant,6652.0,576.0,5.09,5.03,3.28,3.38,4.47,4.48,9.0,9.1,132.0,138.0,348.0,164.0,9.0,57.0,34.0,56.0,513.0,0.0,3066.386123129255
13477,76878,2018-04-18,9549,14,1,294,Dry,Pregnant,13886.0,956.0,4.13,3.7,3.32,3.31,4.37,4.41,9.5,9.4,211.0,187.0,324.0,120.0,7.0,80.0,40.0,43.0,562.0,0.0,4965.899979219736
13553,76991,2018-04-18,9798,14,1,298,Dry,Pregnant,17531.0,1452.0,4.08,3.67,3.08,2.89,4.6,4.45,9.3,9.1,208.0,194.0,232.0,65.0,8.0,71.0,39.0,43.0,565.0,0.0,7002.789180967008
13962,77455,2018-04-18,1476396859,14,4,282,Dry,Pregnant,9385.0,775.0,4.01,4.14,3.15,3.3,4.29,4.4,11.7,10.6,171.0,181.0,244.0,110.0,11.0,62.0,45.0,34.0,679.0,0.0,5507.939031299394
13969,77465,2018-04-18,1476396869,14,1,372,Dry,Pregnant,8156.0,672.0,5.2,4.66,3.41,3.05,4.66,4.29,9.3,9.3,131.0,144.0,246.0,82.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3094.391551872456
14090,77612,2018-04-18,1476397050,14,2,384,Dry,Pregnant,8434.0,557.0,4.5,4.58,3.25,3.39,4.24,4.17,10.6,10.5,158.0,194.0,296.0,123.0,3.0,130.0,27.0,72.0,391.0,0.0,3511.9165878647564
14198,77749,2018-04-18,1476397224,14,1,293,Dry,Pregnant,14393.0,1096.0,0.0,4.18,0.0,3.12,0.0,4.48,9.5,9.1,183.0,166.0,249.0,83.0,10.0,66.0,46.0,36.0,661.0,0.0,8358.080026480431
20839,85899,2018-04-24,4322,14,1,300,Dry,Pregnant,27107.0,1129.0,3.97,4.07,3.41,3.37,4.47,4.46,12.9,11.7,249.0,217.0,121.0,-1.0,3.0,125.0,77.0,10.0,375.0,0.0,7333.719918280334
20858,85921,2018-04-24,4384,14,1,296,Dry,Pregnant,29537.0,805.0,3.45,3.37,3.17,3.08,4.5,4.37,9.0,9.1,204.0,205.0,172.0,17.0,5.0,75.0,76.0,11.0,375.0,0.0,6537.997916974683
